SP_ORG_Items — VALIDAÇÃO ESTÁTICA 0.12-C.8

CHECKS=291 PASS=291 FAIL=0
Operational code/config files=245
Items function files=216
PASS — balance ServoPeregrino_Organizador_Items/functions/tests/fn_restoreProductionRepositorySnapshot.sqf
PASS — balance ServoPeregrino_Organizador_Items/functions/tests/fn_findLeakedTestKits.sqf
PASS — balance ServoPeregrino_Organizador_Items/functions/tests/fn_runDelivery0_10_0_7HotfixTests.sqf
PASS — balance ServoPeregrino_Organizador_Items/functions/tests/fn_runDelivery0_12CheckpointC8Tests.sqf
PASS — balance ServoPeregrino_Organizador_Items/functions/tests/fn_runDelivery0_12CheckpointATests.sqf
PASS — balance ServoPeregrino_Organizador_Items/functions/tests/fn_runDelivery0_12CheckpointC3Tests.sqf
PASS — balance ServoPeregrino_Organizador_Items/functions/tests/fn_runDelivery0_4Tests.sqf
PASS — balance ServoPeregrino_Organizador_Items/functions/tests/fn_prepareCumulativeTestRun.sqf
PASS — balance ServoPeregrino_Organizador_Items/functions/tests/fn_runDelivery0_12CheckpointC7Tests.sqf
PASS — balance ServoPeregrino_Organizador_Items/functions/tests/fn_runDelivery0_5_1Tests.sqf
PASS — balance ServoPeregrino_Organizador_Items/functions/tests/fn_runDelivery0_12CheckpointC6Tests.sqf
PASS — balance ServoPeregrino_Organizador_Items/functions/tests/fn_runDelivery0_12CheckpointC5Tests.sqf
PASS — balance ServoPeregrino_Organizador_Items/functions/tests/fn_runDelivery0_11CheckpointB61Tests.sqf
PASS — balance ServoPeregrino_Organizador_Items/functions/tests/fn_runDelivery0_11CheckpointATests.sqf
PASS — balance ServoPeregrino_Organizador_Items/functions/tests/fn_runDelivery0_7_2Tests.sqf
PASS — balance ServoPeregrino_Organizador_Items/functions/tests/fn_runDelivery0_9_2Tests.sqf
PASS — balance ServoPeregrino_Organizador_Items/functions/tests/fn_runDelivery0_4_3Tests.sqf
PASS — balance ServoPeregrino_Organizador_Items/functions/tests/fn_runDelivery0_5Tests.sqf
PASS — balance ServoPeregrino_Organizador_Items/functions/tests/fn_runDelivery0_8Tests.sqf
PASS — balance ServoPeregrino_Organizador_Items/functions/tests/fn_captureProductionRepositorySnapshot.sqf
PASS — balance ServoPeregrino_Organizador_Items/functions/tests/fn_runDelivery0_11CheckpointBTests.sqf
PASS — balance ServoPeregrino_Organizador_Items/functions/tests/fn_runDelivery0_11CheckpointCTests.sqf
PASS — balance ServoPeregrino_Organizador_Items/functions/tests/fn_runDelivery0_10CheckpointBTests.sqf
PASS — balance ServoPeregrino_Organizador_Items/functions/tests/fn_cleanupLeakedTestKits.sqf
PASS — balance ServoPeregrino_Organizador_Items/functions/tests/fn_runDelivery0_4_1Tests.sqf
PASS — balance ServoPeregrino_Organizador_Items/functions/tests/fn_runDelivery0_3Tests.sqf
PASS — balance ServoPeregrino_Organizador_Items/functions/tests/fn_runDelivery0_10CheckpointCTests.sqf
PASS — balance ServoPeregrino_Organizador_Items/functions/tests/fn_runDelivery0_9Tests.sqf
PASS — balance ServoPeregrino_Organizador_Items/functions/tests/fn_getDelivery0_10TestContract.sqf
PASS — balance ServoPeregrino_Organizador_Items/functions/tests/fn_runDelivery0_11CheckpointB1Tests.sqf
PASS — balance ServoPeregrino_Organizador_Items/functions/tests/fn_runDelivery0_8_3Tests.sqf
PASS — balance ServoPeregrino_Organizador_Items/functions/tests/fn_runDelivery0_12CheckpointCTests.sqf
PASS — balance ServoPeregrino_Organizador_Items/functions/tests/fn_runDelivery0_12CheckpointC2Tests.sqf
PASS — balance ServoPeregrino_Organizador_Items/functions/tests/fn_runDelivery0_4_2Tests.sqf
PASS — balance ServoPeregrino_Organizador_Items/functions/tests/fn_runDelivery0_6_1Tests.sqf
PASS — balance ServoPeregrino_Organizador_Items/functions/tests/fn_runDelivery0_11CheckpointB4Tests.sqf
PASS — balance ServoPeregrino_Organizador_Items/functions/tests/fn_runDelivery0_1Tests.sqf
PASS — balance ServoPeregrino_Organizador_Items/functions/tests/fn_runDelivery0_8_2Tests.sqf
PASS — balance ServoPeregrino_Organizador_Items/functions/tests/fn_runDelivery0_6Tests.sqf
PASS — balance ServoPeregrino_Organizador_Items/functions/tests/fn_runDelivery0_11CheckpointB3Tests.sqf
PASS — balance ServoPeregrino_Organizador_Items/functions/tests/fn_runDelivery0_7_1Tests.sqf
PASS — balance ServoPeregrino_Organizador_Items/functions/tests/fn_runDelivery0_7Tests.sqf
PASS — balance ServoPeregrino_Organizador_Items/functions/tests/fn_runDelivery0_11CheckpointDTests.sqf
PASS — balance ServoPeregrino_Organizador_Items/functions/tests/fn_runDelivery0_9_1Tests.sqf
PASS — balance ServoPeregrino_Organizador_Items/functions/tests/fn_classifyLeakedTestKit.sqf
PASS — balance ServoPeregrino_Organizador_Items/functions/tests/fn_runDelivery0_11CheckpointB2Tests.sqf
PASS — balance ServoPeregrino_Organizador_Items/functions/tests/fn_resetRuntimeForTests.sqf
PASS — balance ServoPeregrino_Organizador_Items/functions/tests/fn_runDelivery0_11CheckpointB7Tests.sqf
PASS — balance ServoPeregrino_Organizador_Items/functions/tests/fn_runDelivery0_2Tests.sqf
PASS — balance ServoPeregrino_Organizador_Items/functions/tests/fn_installTestActions.sqf
PASS — balance ServoPeregrino_Organizador_Items/functions/lifecycle/fn_initialize.sqf
PASS — balance ServoPeregrino_Organizador_Items/functions/lifecycle/fn_getBuildInfo.sqf
PASS — balance ServoPeregrino_Organizador_Items/functions/application/fn_rollbackApplication.sqf
PASS — balance ServoPeregrino_Organizador_Items/functions/application/fn_simulateApplicationEntries.sqf
PASS — balance ServoPeregrino_Organizador_Items/functions/application/fn_executeSavedKitApplication.sqf
PASS — balance ServoPeregrino_Organizador_Items/functions/application/fn_chooseApplicationTarget.sqf
PASS — balance ServoPeregrino_Organizador_Items/functions/application/fn_createWholeKitApplicationPlan.sqf
PASS — balance ServoPeregrino_Organizador_Items/functions/application/fn_validateApplicationPlan.sqf
PASS — balance ServoPeregrino_Organizador_Items/functions/application/fn_executeApplicationPlan.sqf
PASS — balance ServoPeregrino_Organizador_Items/functions/application/fn_createReplaceApplicationPlan.sqf
PASS — balance ServoPeregrino_Organizador_Items/functions/application/fn_executeSingleOperation.sqf
PASS — balance ServoPeregrino_Organizador_Items/functions/application/fn_mutateContainerEntry.sqf
PASS — balance ServoPeregrino_Organizador_Items/functions/application/fn_executeDraftApplication.sqf
PASS — balance ServoPeregrino_Organizador_Items/functions/application/fn_executeContentOperation.sqf
PASS — balance ServoPeregrino_Organizador_Items/functions/application/fn_getSavedKitApplicationSource.sqf
PASS — balance ServoPeregrino_Organizador_Items/functions/application/fn_createClearApplicationPlan.sqf
PASS — balance ServoPeregrino_Organizador_Items/functions/application/fn_getEntryUnitMass.sqf
PASS — balance ServoPeregrino_Organizador_Items/functions/application/fn_createApplicationPlan.sqf
PASS — balance ServoPeregrino_Organizador_Items/functions/application/fn_acquireApplicationLock.sqf
PASS — balance ServoPeregrino_Organizador_Items/functions/application/fn_captureContainerSnapshot.sqf
PASS — balance ServoPeregrino_Organizador_Items/functions/application/fn_resolveApplicationTarget.sqf
PASS — balance ServoPeregrino_Organizador_Items/functions/application/fn_getDraftApplicationSource.sqf
PASS — balance ServoPeregrino_Organizador_Items/functions/application/fn_restoreContainerSnapshot.sqf
PASS — balance ServoPeregrino_Organizador_Items/functions/application/fn_getApplicationStatus.sqf
PASS — balance ServoPeregrino_Organizador_Items/functions/application/fn_releaseApplicationLock.sqf
PASS — balance ServoPeregrino_Organizador_Items/functions/integration/fn_validateNexus.sqf
PASS — balance ServoPeregrino_Organizador_Nexus/functions/diagnostics/fn_setLogLevel.sqf
PASS — balance ServoPeregrino_Organizador_Nexus/functions/diagnostics/fn_createDiagnostic.sqf
PASS — balance ServoPeregrino_Organizador_Nexus/functions/diagnostics/fn_log.sqf
PASS — balance ServoPeregrino_Organizador_Nexus/functions/tests/fn_runDelivery1_1Tests.sqf
PASS — balance ServoPeregrino_Organizador_Nexus/functions/tests/fn_resetRuntimeForTests.sqf
PASS — balance ServoPeregrino_Organizador_Nexus/functions/tests/fn_installTestActions.sqf
PASS — balance ServoPeregrino_Organizador_Nexus/functions/contracts/fn_createContract.sqf
PASS — balance ServoPeregrino_Organizador_Nexus/functions/contracts/fn_registerContractDefinition.sqf
PASS — balance ServoPeregrino_Organizador_Nexus/functions/contracts/fn_validateContract.sqf
PASS — balance ServoPeregrino_Organizador_Nexus/functions/capabilities/fn_listCapabilities.sqf
PASS — balance ServoPeregrino_Organizador_Nexus/functions/capabilities/fn_getCapability.sqf
PASS — balance ServoPeregrino_Organizador_Nexus/functions/capabilities/fn_hasCapability.sqf
PASS — balance ServoPeregrino_Organizador_Nexus/functions/capabilities/fn_registerCapability.sqf
PASS — balance ServoPeregrino_Organizador_Nexus/functions/capabilities/fn_unregisterCapability.sqf
PASS — balance ServoPeregrino_Organizador_Nexus/functions/lifecycle/fn_initialize.sqf
PASS — balance ServoPeregrino_Organizador_Nexus/functions/lifecycle/fn_getBuildInfo.sqf
PASS — balance ServoPeregrino_Organizador_Nexus/functions/events/fn_unsubscribeEvent.sqf
PASS — balance ServoPeregrino_Organizador_Nexus/functions/events/fn_publishEvent.sqf
PASS — balance ServoPeregrino_Organizador_Nexus/functions/events/fn_subscribeEvent.sqf
PASS — balance ServoPeregrino_Organizador_Nexus/functions/results/fn_isResult.sqf
PASS — balance ServoPeregrino_Organizador_Nexus/functions/results/fn_createResult.sqf
PASS — balance ServoPeregrino_Organizador_Nexus/script_version.hpp
PASS — balance ServoPeregrino_Organizador_Items/script_version.hpp
PASS — balance ServoPeregrino_Organizador_Items/ui/items_dialog.hpp
PASS — balance ServoPeregrino_Organizador_Nexus/config.cpp
PASS — balance ServoPeregrino_Organizador_Items/config.cpp
PASS — balance description.ext
PASS — identity DISPLAY_VERSION "0.12-C.8"
PASS — identity SEMANTIC_VERSION "0.12.0.11"
PASS — identity BUILD "0.12.0.11-c8-drag-visual-proxy-item-ghost"
PASS — identity DELIVERY_0_12_C_8_CUMULATIVE_GATE_COUNT 536
PASS — gate 531
PASS — gate 532
PASS — gate 533
PASS — gate 534
PASS — gate 535
PASS — gate 536
PASS — all function refs resolve
PASS — description.ext proxy registration
PASS — description.ext C8 registration
PASS — ServoPeregrino_Organizador_Items/config.cpp proxy registration
PASS — ServoPeregrino_Organizador_Items/config.cpp C8 registration
PASS — proxy getMousePosition
PASS — proxy ctrlEnable false
PASS — proxy ctrlShow true
PASS — proxy sourcePicture
PASS — proxy sourceText
PASS — proxy ctrlSetPosition
PASS — proxy pure no executeUITransferCommand
PASS — proxy pure no refreshPhysicalMutationUI
PASS — proxy pure no refreshDraftMutationUI
PASS — proxy pure no saveKit
PASS — proxy pure no deleteKit
PASS — handler retains POINTER_DOWN
PASS — handler retains POINTER_MOVE
PASS — handler retains MOUSE_UP
PASS — handler retains DISPLAY_POINTER
PASS — handler retains resolveUIPointerSource
PASS — handler retains resolveUIPanelDropTarget
PASS — handler retains finalizeUIPointerDrop
PASS — handler retains updateUIDragVisualProxy
PASS — cancel hides ghost
PASS — ui DragGhostBg
PASS — ui DragGhostIcon
PASS — ui DragGhostText
PASS — no duplicate literal positive idc
PASS — freeze ServoPeregrino_Organizador_Items/functions/application
PASS — freeze ServoPeregrino_Organizador_Items/functions/catalog
PASS — freeze ServoPeregrino_Organizador_Items/functions/domain
PASS — freeze ServoPeregrino_Organizador_Items/functions/draft
PASS — freeze ServoPeregrino_Organizador_Items/functions/inventory
PASS — freeze ServoPeregrino_Organizador_Items/functions/storage
PASS — freeze ServoPeregrino_Organizador_Nexus

Observação: validação estática não substitui o runtime do Arma 3. A C.8 deve fechar 536/536 e receber validação visual/manual do proxy acompanhando o mouse sem regressão da C.7.
